ID,Name,Nationality,Age,Overall rating,Team & Contract,Height,Weight,foot,Best position,Value,Total attacking,Total skill,Total movement,Total power,Total mentality,Total defending,Body type
6248,26R. Formento,Uruguay,25,67,Mushuc Runa,184.0,79.0,Right,GK,1.1,54,73,218,143,91,27,Normal
6249,25O. Avalonez,Uruguay,32,64,Cerro Largo,186.0,72.0,Right,GK,0.3,53,68,191,161,88,36,Normal
6250,25O. Agudelos,Uruguay,28,68,Cerro Largo,185.0,82.0,Left,CB,1.0,265,236,304,320,248,207,Normal
6251,24E. Naustdal,Norway,17,53,Hamarkameratene,171.0,65.0,Right,CAM,0.23,220,250,332,213,214,130,Lean
6252,26T. Bangera,Peru,29,68,Peñarol,188.0,80.0,Right,CB,1.0,261,205,315,280,269,202,Normal
6253,26E. Guisanos,Uruguay,29,66,Boston River,173.0,68.0,Right,RB,0.75,263,261,277,237,279,224,Normal
6254,23R. Oliverano,Uruguay,30,67,Cerro Largo,176.0,69.0,Right,RB,0.875,269,336,358,318,288,186,Normal
6255,26E. Aedoz,Uruguay,29,66,Boston River,174.0,71.0,Right,CM,0.8250000000000001,271,283,350,307,315,185,Normal
6256,26E. Artaduaga,Uruguay,29,68,Club Nacional de Football,176.0,74.0,Right,CDM,1.0,269,273,267,309,313,195,Normal
6257,26E. Oreliénim,Uruguay,29,64,Cerro Largo,169.0,67.0,Right,RM,0.5750000000000001,255,271,367,240,204,69,Normal
6258,26W. Cundumín,Argentina,29,67,Boston River,171.0,68.0,Left,RM,1.0,312,308,348,291,303,143,Lean
6259,26A. Charriz,Peru,29,68,Boston River,189.0,86.0,Right,ST,1.2,317,302,292,380,271,66,Normal
6260,23G. Pajarez,Uruguay,30,63,Cerro Largo,174.0,66.0,Right,CAM,0.47500000000000003,280,319,338,275,260,106,Lean
6261,24D. Posadinez,Uruguay,27,65,Liverpool FC Uruguay,178.0,66.0,Left,LW,0.75,307,299,343,292,254,140,Lean
6262,25R. Ventarano,Paraguay,32,58,Nacional Asunción,182.0,73.0,Right,GK,0.1,84,92,228,227,85,34,Normal
6263,26A. Paillalev,Argentina,29,66,Racing Club de Montevideo,183.0,74.0,Right,CB,0.725,218,210,275,272,227,205,Lean
6264,25J. Kristoffersen,Norway,27,53,FK Haugesund,189.0,81.0,Right,GK,0.09,61,76,168,177,93,32,Normal
6265,Gonçalo Nogueira,Portugal,21,66,Vitória SC,180.0,73.0,Right,CM,1.9,287,287,325,313,282,180,Lean
6266,25A. Al Mughis,Saudi Arabia,21,50,Al Taawoun FC,165.0,65.0,Right,CDM,0.11,192,216,310,230,214,142,Normal
6267,26Basilio Ndong,Equatorial Guinea,26,64-1,Universitatea Craiova,173.0,73.0,Left,LB,0.675,231,292,359,278,275,184,Stocky
6268,A. Prakash,India,20,49,Mumbai City FC,178.0,78.0,Right,GK,0.09,56,71,178,155,86,27,Lean
6269,H. Nongtdu,India,21,50,Mumbai City FC,186.0,80.0,Right,CB,0.1,151,135,219,239,183,146,Normal
6270,A. Chhikara,India,22,51,Mumbai City FC,182.0,70.0,Left,ST,0.09,215,194,277,272,205,52,Normal
6271,24J. Almeida,Ecuador,24,67,Deportivo Cuenca,174.0,70.0,Left,LM,1.6,296,287,372,315,278,126,Normal
6272,24J. Enem,Netherlands,20,56,Venezia,193.0,85.0,Right,ST,0.325,246,198,273,285,206,48,Lean
6273,24S. Telem,India,20,47,Jamshedpur FC,176.0,76.0,Left,CB,0.1,139,114,273,245,174,144,Normal
6274,N. Barla,India,21,49,Jamshedpur FC,170.0,63.0,Right,ST,0.07,222,200,289,258,227,137,Normal
6275,25X. Skuka,Albania,25,63,CSM Politehnica Iași,185.0,75.0,Right,ST,0.6,284,257,327,330,256,52,Normal
6276,26U. Sánchez,Argentina,27,72,Belgrano de Córdoba,169.0,64.0,Right,RM,2.5,320,352,364,320,315,179,Lean
6277,26J. Strumia,Argentina,25,60,Belgrano de Córdoba,185.0,70.0,Right,GK,0.3,70,86,208,162,94,30,Normal
6278,24I. Hesar,Syria,29,66,Belgrano de Córdoba,183.0,70.0,Right,LM,0.85,284,311,309,243,260,126,Stocky
6279,N. Meriano,Argentina,24,69,CA Banfield,192.0,84.0,Left,CB,1.7,237,235,288,302,257,215,Lean
6280,S. Longo,Argentina,27,70,Belgrano de Córdoba,173.0,70.0,Right,CDM,1.6,283,298,300,320,324,213,Lean
6281,25R. Gómez,Peru,30,68,Sport Huancayo,167.0,77.0,Right,CAM,1.2,302,335,356,337,317,181,Normal
6282,26I. Tapia,Argentina,20,60,Barracas Central,167.0,65.0,Right,CAM,0.6,279,310,316,274,244,146,Lean
6283,S. Telalović,Germany,25,66,DSC Arminia Bielefeld,187.0,78.0,Right,ST,1.1,292,293,343,362,280,87,Normal
6284,25A. Aourir,Morocco,19,61,Alemannia Aachen,172.0,62.0,Right,CAM,0.775,270,304,350,224,248,137,Normal
6285,G. Nikum,India,20,54,Mumbai City FC,168.0,64.0,Right,CAM,0.25,236,258,343,249,255,140,Lean
6286,23Pedro Eugénio,Portugal,32,72,Al Adalah FC,172.0,71.0,Right,LM,1.9,331,348,394,346,275,80,Stocky
6287,23D. Villana,Uruguay,30,61,Club Atlético River Plate,182.0,72.0,Left,CDM,0.275,226,251,301,263,283,188,Normal
6288,25M. Otuali,Germany,21,61,Borussia Dortmund II,186.0,78.0,Right,ST,0.75,261,237,373,299,217,60,Lean
6289,T. Goller,Germany,20,59,Hertha BSC,193.0,84.0,Right,GK,0.47500000000000003,64,62,156,187,80,33,Lean
6290,24A. Unnikrishnan,India,23,50,East Bengal FC,182.0,72.0,Right,CB,0.09,149,178,283,225,204,160,Normal
6291,Hwang Do Yun,Korea Republic,22,65,FC Seoul,176.0,74.0,Right,CM,1.6,243,299,364,303,302,161,Lean
6292,Son Seung Beom,Korea Republic,21,52,Pohang Steelers,180.0,66.0,Right,RM,0.18,222,230,306,270,229,71,Lean
6293,25Lee Seung Joon,Korea Republic,19,52,FC Seoul,174.0,65.0,Right,RM,0.19,205,240,307,239,207,87,Lean
6294,Ahn Jae Min,Korea Republic,22,55,FC Seoul,175.0,73.0,Right,LB,0.19,196,209,357,251,238,143,Normal
6295,26Kim Hyeon Deok,Korea Republic,20,51,FC Seoul,190.0,78.0,Right,CB,0.12,162,153,263,231,188,153,Normal
6296,26Cho Young Kwang,Korea Republic,21,49,FC Seoul,173.0,68.0,Right,RB,0.1,162,173,319,184,211,135,Normal
6297,25Kim Hyun Seo,Korea Republic,20,51,Incheon United FC,174.0,66.0,Right,RM,0.13,207,250,327,222,229,101,Normal
6298,25Park Seung Ho,Korea Republic,20,63,Incheon United FC,180.0,72.0,Right,ST,1.1,277,276,360,332,250,47,Normal
6299,25Park Jin Hong,Korea Republic,19,47,Incheon United FC,183.0,75.0,Right,RM,0.1,188,205,297,252,221,111,Normal
6300,25Lim Hyeong Jin,Korea Republic,22,53,Incheon United FC,190.0,83.0,Right,CB,0.2,185,186,289,270,201,155,Normal
6301,Choi Woo Jin,Korea Republic,20,60,Jeonbuk Hyundai Motors,175.0,66.0,Left,LM,0.525,258,291,347,293,243,163,Normal
6302,25Ha Dong Seon,Korea Republic,20,50,Incheon United FC,181.0,75.0,Right,ST,0.09,223,195,282,269,189,43,Normal
6303,J. Badelj,Croatia,21,65,Universitatea Craiova,190.0,78.0,Left,CB,1.3,210,185,285,274,232,186,Normal
6304,24K. Tomašec,Croatia,19,54,Universitatea Craiova,185.0,78.0,Right,CB,0.24,206,214,246,248,219,166,Normal
6305,23S. Micu,Romania,21,54,FC Argeș,185.0,80.0,Right,GK,0.21,62,71,165,206,93,27,Normal
6306,Lee Jung Taek,Korea Republic,27,65,Gimcheon Sangmu FC,184.0,76.0,Right,CB,0.65,211,179,366,297,232,186,Normal
6307,24Hu Ming,China PR,32,52,Qingdao Hainiu FC,183.0,75.0,Right,ST,0.06,235,184,270,288,196,37,Normal
6308,25Liu Weicheng,China PR,26,48,Qingdao Hainiu FC,175.0,68.0,Right,CDM,0.06,200,210,298,243,231,149,Lean
6309,25T. Norbye,Norway,19,54,Tromsø IL,186.0,78.0,Right,CB,0.275,195,200,294,229,196,165,Normal
6310,25N. Čović,Serbia,33,68,Henan FC,185.0,80.0,Right,ST,0.775,308,271,304,350,274,87,Normal
6311,Sun Guoliang,China PR,34,51,Changchun Yatai,182.0,77.0,Right,CB,0.02,149,150,193,182,200,181,Lean
6312,24Li Xiangbin,China PR,32,56,Nantong Zhiyun,177.0,73.0,Right,CDM,0.1,209,219,315,236,254,159,Lean
6313,25Qiu Zhongyi,China PR,28,49,Nantong Zhiyun,183.0,73.0,Right,CB,0.045,144,130,267,210,176,168,Lean
6314,25Ma Sheng,China PR,27,54,Nantong Zhiyun,183.0,80.0,Right,CB,0.11,142,116,274,233,196,178,Lean
6315,F. Berglie,Norway,28,65,KFUM-Kameratene Oslo,184.0,77.0,Right,CB,0.675,224,232,312,270,231,192,Normal
6316,26T. Cipot,Slovenia,22,66,Grazer AK,184.0,74.0,Right,CAM,1.4,289,305,331,288,282,151,Lean
6317,25R. Krollis,Latvia,22,64,Spezia,186.0,80.0,Left,ST,1.3,291,248,273,331,255,62,Lean
6318,24V. Cozzella,Italy,21,58+2,AJ Auxerre,190.0,82.0,Left,GK,0.4,54,65,133,172,82,31,Normal
6319,25B. León,Colombia,23,71,Independiente Medellín,175.0,68.0,Right,ST,3.8,306,283,385,351,259,41,Normal
6320,L. Berrío,Colombia,27,70,Independiente Medellín,172.0,68.0,Right,CM,1.7,311,331,333,336,310,168,Normal
6321,25J. Vélez,Colombia,20,66,Junior FC,178.0,75.0,Right,CM,2.1,265,275,314,305,300,159,Normal
6322,25H. Mena,Colombia,23,66,Junior FC,186.0,78.0,Right,CB,1.6,194,165,277,256,228,200,Normal
6323,25S. Silva,Uruguay,19,67,CD Huachipato,179.0,75.0,Right,CM,2.2,270,288,280,293,279,163,Normal
6324,F. Martinicorena,Uruguay,21,59,Boston River,186.0,74.0,Right,ST,0.5,281,276,295,314,267,63,Normal
6325,F. González,Uruguay,21,67,Peñarol,165.0,60.0,Right,RM,2.3,291,334,392,300,280,101,Normal
6326,23M. Ponte,Uruguay,19,63,Danubio FC,183.0,74.0,Right,RB,1.0,213,249,352,255,254,180,Normal
6327,Pedro Santos,Portugal,24,68,FC Arouca,174.0,61.0,Right,CDM,1.8,263,321,367,313,319,210,Lean
6328,25Y. Caricote,Venezuela,25,63,Metropolitanos FC,180.0,78.0,Right,CB,0.6,197,165,277,262,217,203,Normal
6329,24J. Müller,Germany,22,61,FC Schalke,180.0,70.0,Left,LWB,0.7000000000000001,250,251,324,246,263,177,Normal
6330,A. Sbaï,Morocco,24,72,Angers SCO,175.0,68.0,Right,RM,3.0,301,342,380,317,260,86,Normal
6331,J. Diehl,Germany,20,66,VfB Stuttgart,174.0,67.0,Right,CAM,2.1,293,296,403,281,243,55,Normal
6332,23Y. Mosquera,Colombia,20,60,Águilas Doradas,178.0,75.0,Left,LWB,0.525,253,252,334,263,233,167,Normal
6333,23N. Lara,Colombia,19,60,Águilas Doradas,184.0,78.0,Left,CB,0.5,226,232,290,248,215,179,Normal
6334,26J. Valverde,Ecuador,26,62,Houston Dynamo,172.0,70.0,Right,CAM,0.5,251,260,348,305,291,174,Normal
6335,23G. Niculescu,Romania,18,53,FC Botoşani,184.0,67.0,Right,CB,0.24,179,151,217,246,193,163,Normal
6336,24I. Cărăușu,Romania,17,57,FC Botoşani,174.0,63.0,Right,RM,0.375,243,229,334,286,222,53,Normal
6337,R. Bucur,Romania,22,52,Asociația Clubul Sportiv Petrolul,178.0,67.0,Right,ST,0.16,219,216,305,238,217,59,Normal
6338,23J. Gurlica,Croatia,18,61,Dinamo Zagreb,190.0,78.0,Right,CB,0.775,243,309,294,340,264,175,Lean
6339,G. Gheorghe,Romania,18,61,Rapid Bucuresti,176.0,72.0,Right,CAM,0.7000000000000001,230,289,356,243,252,113,Lean
6340,25L. Vrbančić,Croatia,18,64,Dinamo Zagreb,180.0,75.0,Right,CAM,1.5,270,329,339,329,308,170,Normal
6341,24L. Lukanić,Croatia,19,61,Dinamo Zagreb,175.0,68.0,Left,CAM,0.775,274,337,330,286,282,152,Normal
6342,26A. Piedrahita,Colombia,22,68,Gimnasia y Esgrima La Plata,182.0,83.0,Right,RM,2.7,291,300,372,349,248,67,Lean
6343,26I. Valdez,Paraguay,30,67,Independiente Rivadavia,178.0,81.0,Right,RM,0.975,271,285,347,298,258,131,Normal
6344,26D. Rodríguez,Paraguay,27,66,Guaraní,176.0,68.0,Right,RM,0.9,294,316,344,328,264,71,Normal
6345,24M. Benítez,Paraguay,27,62,Sportivo Ameliano,180.0,75.0,Right,CM,0.425,260,300,323,303,279,176,Normal
6346,23R. Carballo,Paraguay,26,62,Tacuary FC,185.0,75.0,Right,ST,0.47500000000000003,251,245,319,298,207,42,Normal
6347,R. Domínguez,Paraguay,32,62,Recoleta,174.0,71.0,Right,CDM,0.275,250,269,309,289,281,187,Normal
6348,24A. Bareiro,Paraguay,27,61,Tacuary FC,189.0,92.0,Right,GK,0.325,63,58,146,197,72,30,Normal
6349,24A. Diakité,France,23,60,Clermont Foot,184.0,78.0,Left,ST,0.4,281,233,281,305,207,55,Lean
6350,Mateus,Brazil,23,62,Alverca,199.0,96.0,Right,GK,0.775,56,57,157,191,89,29,Lean
6351,K. Balmer,Northern Ireland,24,63,Bristol Rovers,183.0,80.0,Right,CB,0.625,235,229,306,291,246,187,Normal
6352,D. Ozoh,England,20,68,Derby County,189.0,68.0,Right,CDM,2.5,277,295,328,335,306,191,Normal
6353,Busanello,Brazil,26,71,Malmö FF,180.0,75.0,Left,LB,2.0,305,341,358,367,329,197,Normal
6354,24J. Olsson,Sweden,28,60,Degerfors IF,188.0,84.0,Right,GK,0.2,75,89,165,191,126,36,Normal
6355,24J. Avalo,Colombia,21,60,Águilas Doradas,175.0,72.0,Right,CAM,0.5,257,283,314,297,268,173,Lean
6356,26O. Garrido,Argentina,27,63,Instituto Atlético Central Córdoba,171.0,68.0,Right,CM,0.5,274,305,325,277,310,193,Normal
6357,24J. Blanco,Colombia,22,65,Águilas Doradas,185.0,79.0,Right,ST,1.6,305,291,302,328,251,67,Normal
6358,24J. Jones,Republic of Ireland,21,53,Drogheda United,184.0,76.0,Left,CB,0.13,215,235,267,245,226,156,Normal
6359,25R. Al Johani,Saudi Arabia,23,49,Al Taawoun FC,176.0,71.0,Right,ST,0.1,213,194,294,266,189,45,Normal
6360,26R. Rodríguez,Uruguay,21,66,Vélez Sarsfield,188.0,78.0,Right,GK,1.7,71,110,208,228,108,41,Lean
6361,24J. Ferreira,Uruguay,19,63,Peñarol,183.0,71.0,Right,RB,1.0,252,264,327,291,255,181,Lean
6362,L. Hernández,Uruguay,32,69,Peñarol,175.0,80.0,Left,CB,0.975,330,328,290,308,339,209,Stocky
6363,24Ó. Cruz,Uruguay,21,64,Peñarol,175.0,72.0,Right,ST,1.3,298,274,312,314,261,96,Normal
6364,M. De Ritis,Uruguay,22,65,San Lorenzo de Almagro,176.0,78.0,Left,CB,1.5,278,293,305,288,295,196,Normal
6365,25D. García,Uruguay,20,71,Peñarol,177.0,74.0,Right,CDM,3.5,313,318,314,342,322,213,Normal
6366,G. Segal,United States,24,58,DC United,178.0,82.0,Right,ST,0.3,235,215,295,292,232,82,Lean
6367,25A. Korça,United States,23,56,FC Dallas,193.0,82.0,Right,CB,0.3,193,202,264,264,212,175,Lean
6368,26J. Panayotou,United States,21,59,New England Revolution,170.0,70.0,Left,CAM,0.55,223,280,307,249,246,150,Lean
6369,23K. Mbombo,Congo DR,26,62,NorthEast United,186.0,84.0,Left,ST,0.47500000000000003,262,226,315,350,242,45,Normal
6370,23G. Olivera,Uruguay,21,64,Liverpool FC Uruguay,177.0,75.0,Left,LB,1.3,254,266,319,260,257,185,Normal
6371,S. McMullan,Northern Ireland,20,58,Waterford FC,182.0,78.0,Right,GK,0.35000000000000003,67,92,220,177,101,34,Normal
6372,R. Chagas,Uruguay,21,65,Club Atlético Juventud,176.0,68.0,Right,CAM,1.6,288,306,352,315,299,192,Lean
6373,M. Rocha,Uruguay,24,67,FC Arouca,183.0,75.0,Right,CB,1.5,268,241,307,319,298,203,Normal
6374,24O. Veum,Norway,19,55,Stabæk Fotball,185.0,79.0,Right,CB,0.275,168,173,275,224,191,167,Normal
6375,24D. Udogu,Germany,20,57,FC Ingolstadt,182.0,79.0,Right,RB,0.375,215,214,283,236,198,164,Lean
6376,25M. Poom,Estonia,25,61,Shamrock Rovers,186.0,73.0,Left,CM,0.425,264,282,302,317,290,166,Lean
6377,T. Oluwayemi,England,22,59,Leyton Orient,188.0,80.0,Left,GK,0.45,95,118,184,202,143,64,Normal
6378,M. Healy,Republic of Ireland,23,66,Shamrock Rovers,178.0,76.0,Right,CDM,1.2,275,310,273,328,292,187,Lean
6379,24L. Gunnerød,Norway,16,52,Stabæk Fotball,183.0,70.0,Right,GK,0.23,55,76,254,144,79,30,Normal
6380,A. Andresen,Norway,20,55,Fredrikstad FK,180.0,70.0,Left,LM,0.3,222,254,354,226,231,130,Normal
6381,24C. Elliott,Scotland,24,53,Dundalk,183.0,75.0,Right,ST,0.14,234,231,271,265,233,59,Normal
6382,J. Valiente,Uruguay,24,68,FC Dallas,165.0,67.0,Left,CAM,1.8,307,322,380,303,298,146,Normal
6383,24O. Blanco,Argentina,22,63,Cerro Largo,183.0,75.0,Left,LM,0.775,274,303,324,304,257,140,Normal
6384,Diego Aznar,Spain,21,63,SD Huesca,180.0,76.0,Right,ST,1.1,276,240,326,331,291,77,Lean
6385,J. Lukić,Serbia,23,67,Philadelphia Union,180.0,63.0,Right,CAM,2.0,295,299,351,319,301,173,Lean
6386,26D. Tegues,Venezuela,21,60,Caracas FC,180.0,84.0,Right,ST,0.55,245,211,292,336,243,63,Stocky
6387,26J. Duarte,Venezuela,19,61,Deportivo Táchira,170.0,74.0,Left,ST,0.725,255,241,325,275,234,59,Normal
6388,26C. Méndez,Venezuela,21,59,Deportivo Táchira,156.0,55.0,Right,CM,0.5,236,262,322,222,275,171,Normal
6389,25O. Taylor-Clarke,Wales,20,58,Bristol City,174.0,61.0,Right,CDM,0.425,230,263,343,260,263,170,Normal
6390,25D. Sadi,England,20,58,AFC Bournemouth,174.0,65.0,Left,ST,0.45,265,264,349,269,231,112,Normal
6391,J. Mera,Colombia,23,65,Deportes Tolima,185.0,82.0,Right,CB,1.5,202,156,300,288,205,196,Normal
6392,25A. Alfonso,Colombia,19,58,Independiente Medellín,173.0,68.0,Right,RB,0.5,190,205,332,202,217,151,Normal
6393,25V. Granath,Sweden,30,64,SV Sandhausen,194.0,85.0,Left,ST,0.5750000000000001,282,233,277,358,246,64,Normal
6394,I. Durdov,Croatia,24,64,Bruk-Bet Termalica Nieciecza,194.0,86.0,Right,ST,0.85,287,238,272,356,252,66,Normal
6395,G. Friberg,Sweden,22,63,Halmstads BK,182.0,69.0,Left,LB,1.0,230,234,318,256,224,174,Normal
6396,25D. Barro,Côte d'Ivoire,22,63,FC Cartagena,179.0,70.0,Right,CDM,1.1,275,277,319,324,299,177,Normal
6397,24T. Parallangaj,Sweden,20,55,Halmstads BK,185.0,80.0,Left,CB,0.275,169,146,244,255,190,164,Normal
6398,K. Karlsson,Sweden,20,62,Degerfors IF,184.0,78.0,Right,CM,0.9500000000000001,245,267,319,271,260,167,Normal
6399,26M. Adu-Poku,England,19,55,Watford,188.0,80.0,Right,ST,0.3,224,215,315,280,239,48,Normal
6400,H. Amass,England,18,69,Norwich City,181.0,75.0,Left,LB,3.1,270,288,369,289,289,194,Lean
6401,J. Grieves,England,20,58,Watford,180.0,75.0,Right,ST,0.5,271,257,340,308,274,143,Lean
6402,24F. Møller-Hansen,Norway,18,54,Stabæk Fotball,187.0,75.0,Right,CB,0.275,178,174,269,206,191,166,Lean
6403,A. Giorgini,Italy,23,68,SS Juve Stabia,190.0,80.0,Right,CB,2.2,272,250,267,316,244,196,Stocky
6404,26M. Antoni,Uruguay,22,68,Alianza Lima,181.0,79.0,Left,CB,2.3,259,254,274,278,261,205,Normal
6405,L. Rodríguez,Uruguay,21,72,NEOM SC,179.0,71.0,Right,RM,5.5,328,361,382,384,287,105,Normal
6406,25S. Homenchenko,Uruguay,20,67,CD Mirandés,185.0,76.0,Left,CDM,2.2,297,309,333,370,335,197,Normal
6407,24M. Ferreira,Uruguay,20,59,Peñarol,183.0,74.0,Right,CAM,0.55,266,290,319,268,239,100,Normal
6408,24J. Peña,Uruguay,21,59,Cerro Largo,180.0,72.0,Right,GK,0.4,93,93,230,199,111,35,Normal
6409,24Luiyi de Lucas,Dominican Republic,28,65,Livingston FC,194.0,80.0,Right,CB,0.675,201,245,283,288,257,186,Lean
6410,A. Ferrari,Uruguay,22,68,Real Sporting de Gijón,190.0,74.0,Right,ST,2.7,312,299,350,355,254,74,Normal
6411,24F. Silvera,Uruguay,21,61,Danubio FC,172.0,66.0,Right,CAM,0.725,269,273,328,240,239,85,Normal
6412,26A. Ahlstrand,Sweden,21,58,Halmstads BK,184.0,64.0,Right,CAM,0.5,255,269,306,263,248,146,Normal
6413,S. Østraat,Norway,20,58,Hamarkameratene,191.0,80.0,Right,GK,0.425,56,67,228,175,79,28,Normal
6414,R. Esse,England,20,70,Coventry City,182.0,75.0,Left,CAM,3.8,310,323,388,310,294,121,Lean
6415,T. Anderson,England,20,57,Mansfield Town,182.0,75.0,Right,RB,0.35000000000000003,229,240,311,285,236,152,Normal
6416,M. Mellon,Scotland,21,62,Oldham Athletic,185.0,77.0,Right,ST,0.9,274,268,339,315,252,69,Normal
6417,25K. Wołkowicz,Poland,29,61,Stal Mielec,180.0,72.0,Left,LM,0.325,269,285,330,301,279,161,Normal
6418,23C. Basomboli,Congo DR,21,64,Kaizer Chiefs,184.0,75.0,Left,ST,1.3,273,237,292,331,260,62,Normal
6419,23A. Saine,Gambia,19,55,AC Horsens,186.0,78.0,Right,CB,0.275,183,203,305,233,217,161,Lean
6420,T. Slotsager,Denmark,19,69,Hellas Verona FC,190.0,79.0,Right,CB,3.1,229,243,319,259,239,205,Normal
6421,23O. Ruggieri,Venezuela,20,57,Monagas SC,178.0,78.0,Right,ST,0.375,250,241,299,283,239,48,Normal
6422,Lee Jung Taek,Korea Republic,27,65,Gimcheon Sangmu FC,184.0,76.0,Right,CB,0.65,211,179,366,297,232,186,Normal
6423,24Hu Ming,China PR,32,52,Qingdao Hainiu FC,183.0,75.0,Right,ST,0.06,235,184,270,288,196,37,Normal
6424,24H. Arango,Colombia,21,59,Águilas Doradas,178.0,75.0,Right,GK,0.47500000000000003,69,74,167,172,108,38,Lean
6425,D. Mastrángelo,Argentina,22,63,Gimnasia y Esgrima La Plata,176.0,73.0,Right,CB,1.0,222,222,317,261,270,184,Lean
6426,24G. Novero,Argentina,24,61,Patronato,165.0,68.0,Right,ST,0.5,260,261,328,330,233,50,Stocky
6427,24M. Budiño,Argentina,27,59,Patronato,185.0,83.0,Right,GK,0.21,60,67,166,186,68,32,Normal
6428,24K. González,Argentina,27,58,Patronato,167.0,63.0,Right,RM,0.22,273,257,328,239,215,94,Lean
6429,24M. Levato,Argentina,27,63,Patronato,188.0,83.0,Right,ST,0.525,277,249,281,327,213,60,Normal
6430,J. Lemmer,Germany,25,68,Dynamo Dresden,180.0,79.0,Right,RW,1.4,298,312,367,320,278,111,Normal
6431,23I. Covi,United States,22,61,SD Ponferradina,189.0,83.0,Right,CB,0.7000000000000001,215,182,265,292,222,197,Normal
6432,25S. Pino,Chile,21,61,CD Huachipato,195.0,86.0,Right,CB,0.75,196,160,252,282,210,195,Normal
6433,A. Vásquez,Colombia,22,67,Blooming,179.0,72.0,Right,ST,1.6,304,292,328,333,262,65,Lean
6434,25Á. Orelien,Panama,23,62,USL Dunkerque,169.0,60.0,Right,CAM,0.5750000000000001,266,276,354,257,259,73,Normal
6435,26A. Watts,United States,25,64,St. Louis CITY SC,178.0,79.0,Right,RWB,0.8,259,252,356,313,267,187,Normal
6436,Célio Pompeu,Brazil,25,65,St. Louis CITY SC,178.0,74.0,Right,RW,0.85,250,301,380,256,254,87,Lean
6437,25T. Borne,France,21,59,Clermont Foot,191.0,74.0,Right,GK,0.45,60,76,172,150,75,32,Lean
6438,A. Cigaņiks,Latvia,28,66,FC Luzern,173.0,68.0,Left,LB,0.775,271,285,356,306,285,186,Lean
6439,24J. Peinipil,Argentina,21,59,Arsenal de Sarandi,180.0,76.0,Right,ST,0.5,268,238,243,307,250,71,Lean
6440,Y. Hurtado,Colombia,28,70,Always Ready,173.0,67.0,Right,RB,1.4,272,284,368,277,290,196,Normal
6441,24T. Mfuni,England,19,53,Oxford United,189.0,81.0,Right,CB,0.19,159,146,260,249,196,163,Lean
6442,24Matheus Martins,Brazil,19,69,Watford,179.0,77.0,Right,CAM,3.0,322,331,340,325,277,76,Normal
6443,24Rodrigo Bassani,Brazil,25,63,Suwon Samsung Bluewings,177.0,79.0,Left,CAM,0.5750000000000001,292,314,346,302,266,116,Normal
6444,23O. Preil,Germany,18,56,RB Leipzig,187.0,78.0,Right,GK,0.3,58,68,153,164,66,36,Normal
6445,26J. Gordon,England,22,57,Colchester United,181.0,68.0,Right,ST,0.25,255,251,350,294,234,90,Normal
6446,25L. Humbles,England,20,55+2,Salford City,177.0,71.0,Right,CAM,0.275,216,249,328,247,245,143,Lean
6447,D. Duran,Bolivia,22,64,Blooming,171.0,72.0,Left,LWB,1.3,215,230,362,255,245,179,Normal
6448,24R. Eguez,Bolivia,19,56,Blooming,177.0,70.0,Right,ST,0.35000000000000003,240,233,323,260,208,41,Normal
6449,24S. Garzón,Bolivia,24,56,Blooming,175.0,68.0,Right,ST,0.23,236,215,301,255,213,46,Normal
6450,24A. Abdulqader,Saudi Arabia,21,50,Al Ettifaq,172.0,64.0,Right,RB,0.1,161,164,355,196,201,137,Normal
6451,23Iago Mendonça,Brazil,22,60,Blooming,194.0,77.0,Right,CB,0.35000000000000003,177,170,257,271,203,183,Normal
6452,S. Ntamack,France,24,65,Amiens SC,178.0,74.0,Right,ST,1.1,284,269,357,320,239,62,Normal
6453,24M. Becerra,Bolivia,30,62,Blooming,176.0,72.0,Right,RB,0.35000000000000003,196,212,326,244,231,182,Normal
6454,26D. Pinto,Bolivia,29,60,Nacional Potosí,179.0,74.0,Right,ST,0.25,250,216,312,297,219,36,Normal
6455,24F. Rodríguez Rendón,Bolivia,27,57,Blooming,169.0,60.0,Right,RM,0.17,228,263,356,218,226,91,Normal
6456,P. Kikianis,Australia,20,65,Adelaide United,185.0,78.0,Right,CB,1.6,202,210,309,285,256,194,Normal
6457,24S. Doua,Côte d'Ivoire,21,65,Asociația Clubul Sportiv Petrolul,178.0,73.0,Right,RWB,1.5,235,259,376,336,270,180,Normal
6458,25L. Lespinasse,France,23,59,Pau FC,182.0,77.0,Right,ST,0.35000000000000003,285,266,337,307,241,97,Normal
6459,A. Bonetig,Australia,22,64,Portland Timbers,187.0,80.0,Left,CB,1.2,207,223,292,298,224,190,Lean
6460,M. Younis,Australia,19,60,Melbourne City FC,175.0,74.0,Right,RW,0.625,229,269,363,260,242,119,Normal
6461,25B. González,Uruguay,25,64,Cerro Largo,182.0,76.0,Right,RM,0.775,271,319,357,278,278,102,Lean
6462,F. Bouebari,France,21,62,Rot-Weiss Essen,187.0,80.0,Left,CB,0.85,232,218,307,270,238,189,Normal
6463,24A. Nuss,France,19,58,RC Strasbourg Alsace,179.0,67.0,Right,RB,0.5,211,214,304,208,241,181,Lean
6464,26B. Bilongo,England,23,61,Bristol Rovers,180.0,80.0,Left,LB,0.45,236,252,352,296,263,174,Lean
6465,24T. Saettel,France,18,57,RC Strasbourg Alsace,174.0,65.0,Right,RM,0.525,262,269,294,219,218,94,Lean
